index,x,y
1,-94.0531691,45.4099674
2,-94.0531176,45.4096541
3,-94.052823,45.014833
4,-94.051426,44.717365
5,-94.051098,44.731804
6,-94.050886,44.746252
7,-94.050776,44.869425
8,-94.050684,44.854705
9,-94.050666,44.767902
10,-94.049813,44.485909
11,-94.049799,44.543204
12,-94.049775,44.507787
13,-94.049399,45.050911
14,-94.047733,45.138029
15,-94.046238,44.590557
16,-94.044899,44.572311
17,-94.044886,45.267671
18,-94.04462,45.289665
19,-94.044524,45.296633
20,-94.044246,45.152248
21,-94.044127,44.673392
22,-94.044012,45.223152
23,-94.0437558,45.2379568
24,-94.043674,44.558076
25,-94.043061,45.304068
26,-94.0429692,45.195563
27,-94.0429514,45.0835144
28,-94.0429137,45.0654386
29,-94.042673,45.108754
30,-94.042653,44.906165
31,-94.042579,44.971383
32,-94.042535,45.129729
33,-94.042509,45.116002
34,-94.042468,45.409913
35,-94.042443,44.789517
36,-94.042424,45.173887
37,-94.0423891,44.6373404
38,-94.042348,44.792455
39,-94.0422232,44.7761298
40,-94.042221,44.775109
41,-94.0421368,45.4181568
42,-94.042089,44.887766
43,-94.042051,44.829609
44,-94.042041,44.885951
45,-94.042011,44.884527
46,-94.041991,44.883751
47,-94.041982,44.883396
48,-94.041959,44.882254
49,-94.0419385,45.4116756
50,-94.0418608,44.769395
51,-94.041839,45.181148
52,-94.0418305,45.2484592
53,-94.041709,45.325095
54,-94.041483,45.325721
55,-94.041431,44.887767
56,-94.041403,44.886815
57,-94.041357,44.883073
58,-94.041348,44.88225
59,-94.0412494,44.9724073
60,-94.041112,44.970438
61,-94.041014,44.615936
62,-94.040997,44.609678
63,-94.040986,44.60503
64,-94.040982,44.702431
65,-94.040904,44.649934
66,-94.040891,44.94968
67,-94.0408716,44.957322
68,-94.04086,45.26059
69,-94.04084,44.651626
70,-94.040837,44.65876
71,-94.040833,44.889181
72,-94.0408272,45.4112969
73,-94.0408197,45.4137744
74,-94.040818,44.887765
75,-94.040806,44.655261
76,-94.040803,44.832803
77,-94.040787,44.684945
78,-94.04078,44.687868
79,-94.040774,44.656725
80,-94.040768,44.885953
81,-94.040761,44.884522
82,-94.040732,44.883374
83,-94.040706,44.882247
84,-94.0407,44.661101
85,-94.040697,44.956463
86,-94.040645,44.971354
87,-94.040615,44.879407
88,-94.040608,44.79302
89,-94.040591,44.7761443
90,-94.040583,44.78954
91,-94.040575,44.784622
92,-94.040573,44.78563
93,-94.040572,44.778543
94,-94.04057,44.775134
95,-94.04057,44.781021
96,-94.040568,44.780499
97,-94.040566,44.774606
98,-94.040557,44.773546
99,-94.040542,44.772507
100,-94.04054,44.800469
101,-94.040534,44.771939
102,-94.040532,44.801469
103,-94.040528,44.944568
104,-94.040527,44.978616
105,-94.040519,44.769391
106,-94.040495,44.805636
107,-94.040492,44.768216
108,-94.040464,44.810884
109,-94.0404552,44.9578358
110,-94.040419,44.938797
111,-94.040388,45.242412
112,-94.040266,44.97262
113,-94.040256,44.906925
114,-94.040235,44.90616
115,-94.04016,44.887763
116,-94.0401486,45.4042609
117,-94.040148,45.033008
118,-94.040139,45.404925
119,-94.040138,44.886629
120,-94.040132,44.996648
121,-94.040105,44.885954
122,-94.040024,44.683802
123,-94.0399496,45.4112964
124,-94.039905,44.889063
125,-94.039891,44.908062
126,-94.039865,44.645101
127,-94.039845,44.655284
128,-94.039821,45.306216
129,-94.039734,44.529164
130,-94.039717,45.325777
131,-94.039529,44.887758
132,-94.039472,44.885955
133,-94.039471,44.464072
134,-94.039451,44.884927
135,-94.0394496,44.9571349
136,-94.039442,44.88452
137,-94.039428,44.88224
138,-94.0394162,44.776075
139,-94.039398,44.88053
140,-94.039387,44.774604
141,-94.039367,44.773548
142,-94.039354,44.773051
143,-94.039351,44.784628
144,-94.039343,44.772533
145,-94.0391842,45.1955998
146,-94.0390878,45.4130463
147,-94.039052,44.784575
148,-94.039031,44.882781
149,-94.038956,45.307069
150,-94.038951,44.474932
151,-94.038917,45.296842
152,-94.038892,44.887753
153,-94.038845,44.884929
154,-94.038844,44.885947
155,-94.038769,44.889737
156,-94.038602,44.888429
157,-94.0385841,45.4112964
158,-94.0384435,45.4126323
159,-94.038347,45.021279
160,-94.038324,45.297065
161,-94.038299,45.296854
162,-94.038299,45.379434
163,-94.038279,44.887748
164,-94.0382695,45.4112242
165,-94.038262,44.887684
166,-94.038186,44.884931
167,-94.038185,44.884519
168,-94.038181,44.885934
169,-94.038174,44.883611
170,-94.038143,44.882233
171,-94.038127,45.007629
172,-94.038125,45.033007
173,-94.03805,45.202248
174,-94.038027,45.037164
175,-94.037985,45.4131775
176,-94.037978,44.7760584
177,-94.037938,44.773551
178,-94.037934,44.774603
179,-94.037925,44.773068
180,-94.037913,44.7723177
181,-94.03791,44.772551
182,-94.0379029,45.413145
183,-94.037878,44.771518
184,-94.037779,45.384167
185,-94.03759,45.323763
186,-94.037456,44.673391
187,-94.037408,45.307585
188,-94.037334,44.670789
189,-94.037243,45.307136
190,-94.037012,44.802313
191,-94.036937,44.887134
192,-94.036919,44.885909
193,-94.036866,44.884514
194,-94.036843,45.150843
195,-94.036814,45.152247
196,-94.036716,45.311469
197,-94.036668,45.308558
198,-94.0365292,44.7735659
199,-94.036521,44.774616
200,-94.036519,44.7725637
201,-94.036512,44.773066
202,-94.03649,44.654914
203,-94.0364248,45.4202341
204,-94.03635,45.247653
205,-94.036296,45.312361
206,-94.036286,45.313554
207,-94.03627,44.71356
208,-94.036269,45.31213
209,-94.036251,45.309459
210,-94.036223,45.311722
211,-94.036194,45.311464
212,-94.0360931,44.6373504
213,-94.035995,44.629874
214,-94.035942,44.805564
215,-94.03586,44.616004
216,-94.035685,44.8877
217,-94.035659,45.313393
218,-94.035624,44.882199
219,-94.035595,45.31483
220,-94.035571,44.880546
221,-94.035536,44.773572
222,-94.035526,44.772443
223,-94.035524,44.772317
224,-94.035523,45.282278
225,-94.035517,44.771913
226,-94.035492,44.882199
227,-94.035482,44.977296
228,-94.035479,44.768227
229,-94.035402,44.884017
230,-94.035347,44.884257
231,-94.0351678,45.2423548
232,-94.035148,45.307137
233,-94.0351418,44.6445541
234,-94.035136,44.885921
235,-94.035095,44.977757
236,-94.0350456,45.2602483
237,-94.035029,44.978577
238,-94.035011,45.166943
239,-94.035005,44.962039
240,-94.034997,44.774631
241,-94.034978,44.773585
242,-94.034907,44.962545
243,-94.0349056,45.2604415
244,-94.034828,44.962723
245,-94.03482,45.333215
246,-94.034815,45.313385
247,-94.034771,45.330834
248,-94.034742,45.361884
249,-94.034739,45.369245
250,-94.034729,45.384143
251,-94.034684,44.702486
252,-94.034682,45.311395
253,-94.034639,45.023221
254,-94.034611,44.705525
255,-94.034602,45.30921
256,-94.034587,44.665371
257,-94.034529,45.307842
258,-94.034498,45.307267
259,-94.0344654,45.2599943
260,-94.034381,45.299768
